It has been 5 total minutes, the user seems distracted
It has been 8 total minutes, the user seems distracted
distracted
It has been 31 total minutes, the user seems distracted
It has been 33 total minutes, the user seems distracted
It has been 38 total minutes, the user seems distracted
It has been 45 total minutes, the user seems distracted
It has been 53 total minutes, the user seems distracted
It has been 57 total minutes, the user seems distracted
It has been 71 total minutes, the user seems distracted
It has been 74 total minutes, the user seems distracted
It has been 80 total minutes, the user seems distracted
It has been 83 total minutes, the user seems distracted
It has been 88 total minutes, the user seems distracted
It has been 91 total minutes, the user seems distracted
It has been 94 total minutes, the user seems distracted
It has been 97 total minutes, the user seems distracted
It has been 99 total minutes, the user seems distracted
It has been 102 total minutes, the user seems distracted
It has been 105 total minutes, the user seems distracted
It has been 107 total minutes, the user seems distracted
It has been 110 total minutes, the user seems distracted
It has been 113 total minutes, the user seems distracted
It has been 116 total minutes, the user seems distracted
It has been 118 total minutes, the user seems distracted
It has been 126 total minutes, the user seems distracted
It has been 12 total minutes, the user seems distracted
It has been 10 total minutes, the user seems distracted
It has been 13 total minutes, the user seems distracted
It has been 19 total minutes, the user seems distracted
It has been 22 total minutes, the user seems distracted
It has been 10 total minutes, the user seems distracted
It has been 13 total minutes, the user seems distracted
